9,12,13,14,15,16,17,code,context,question,fix,answers.all.A,answers.all.B,answers.text,answers.start_index,fact or implied,NP-RC,NP-RC edit,NP-NRC,Correct
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the mailman envied the neighbour crocheted a blanket.,Who was envied?,C,the neighbor,LC-A-PM,the mailman envied the neighbour crocheted a blanket.,Who was envied?,,"the neighbour crocheted a blanket
the neighbour","the neighbour crocheted a blanket
the neighbour
neighbour crocheted a blanket
neighbour",the neighbour,19,F,the neighbour crocheted a blanket,the neighbour,the mailman,0
Final,5db85ef927db78000dcd3d5c,GP-A-A1,the neighbour crocheted a blanket envied the mailman.,What did the neighbor do?,C,crocheted a blanked and envied the mailman,GP-A-A1,the neighbour crocheted a blanket envied the mailman.,What did the neighbor do?,,envied the mailman,"envied the mailman
envied",envied the mailman,34,F,the neighbour crocheted a blanket,the neighbour,the mailman,0
Final,5db85ef927db78000dcd3d5c,LC-A-PE,a cab driver spotted the traveller booked the flight.,Who was booked the flight?,C,the traveller,LC-A-PE,a cab driver spotted the traveller booked the flight.,Who was booked the flight?,,the traveller,"the traveller
traveller",the traveller,21,F,the traveller booked the flight,the traveller,a cab driver,1
Final,5db85ef927db78000dcd3d5c,LC-U-PE,the witness yelled at the reporter who was told the rumour.,Who was told the rumour?,C,the reporter,LC-U-PE,the witness yelled at the reporter who was told the rumour.,Who was told the rumour?,,the reporter,"the reporter
reporter",the reporter,22,F,the reporter who was told the rumour,the reporter,the witness,1
Final,5db85ef927db78000dcd3d5c,LC-A-PM,the tutor hugged the boy sent an invitation.,Who got a hug?,C,the boy,LC-A-PM,the tutor hugged the boy sent an invitation.,Who got a hug?,,"the boy sent an invitation
the boy","the boy sent an invitation
the boy
boy sent an invitation
boy",the boy,17,F,the boy sent an invitation,the boy,the tutor,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the boyfriend who was left a voicemail distrusted the girlfriend.,Who got a voicemail?,C,the boyfriend,GP-U-PE,the boyfriend who was left a voicemail distrusted the girlfriend.,Who got a voicemail?,,"the boyfriend who was left a voicemail
the boyfriend","the boyfriend who was left a voicemail
the boyfriend
boyfriend who was left a voicemail
boyfriend",the boyfriend,0,F,the boyfriend who was left a voicemail,the boyfriend,the girlfriend,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the scientist who was shipped critical supplies admired the tribesmen.,Who was shipped critical supplies?,C,the scientist,GP-U-PE,the scientist who was shipped critical supplies admired the tribesmen.,Who was shipped critical supplies?,,"the scientist who was shipped critical supplies
the scientist","the scientist who was shipped critical supplies
the scientist
scientist who was shipped critical supplies
scientist",the scientist,0,F,the scientist who was shipped critical supplies,the scientist,the tribesmen,1
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the golfer who was cooked a special meal toasted the host.,Who was cooked a special meal?,C,the athlete (i didn't remember but it's the subject),GP-U-PE,the golfer who was cooked a special meal toasted the host.,Who was cooked a special meal?,,"the golfer who was cooked a special meal
the golfer","the golfer who was cooked a special meal
the golfer
golfer who was cooked a special meal
golfer",the golfer,0,F,the golfer who was cooked a special meal,the golfer,the host,0
Final,5db85ef927db78000dcd3d5c,GP-U-PE,the girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,C,the girl,GP-U-PE,the girl who was won a stuffed bear ignored the carnival worker.,Who was won a stuffed bear?,,"the girl who was won a stuffed bear
the girl","the girl who was won a stuffed bear
the girl
girl who was won a stuffed bear
girl",the girl,0,F,the girl who was won a stuffed bear,the girl,the carnival worker,1
Final,5db85ef927db78000dcd3d5c,GP-A-A1,the student called a bad name knew the bus driver.,What did the student do?,C,he was called a bad name and knew the bus driver - strictly speaking he didn't do anything,GP-A-A1,the student called a bad name knew the bus driver.,What did the student do?,,knew the bus driver,knew the bus driver,knew the bus driver,30,F,the student called a bad name,the student,the bus driver,0
