Group,code,context,question
A,LC-A-AM,A cab driver spotted the traveller booked the flight.,Who spotted the traveller?
A,LC-U-AM,A professor talked to the student who was found a scholarship.,Who talked?
A,LC-A-A2,The audience greeted the chef presented the new knife.,What did the chef get?
A,LC-U-AM,The banker bragged to the millionaire who was sculpted a statue.,Who bragged?
A,LC-A-A2,The boy scout thanked the pack leader knitted a scarf.,What did the pack leader get?
A,GP-U-AM,The boyfriend who was left a voicemail distrusted the girlfriend.,Who distrusted?
A,LC-A-AM,The cardinal telephoned the priest mailed a request.,Who telephoned?
A,LC-U-AM,The cashier smiled at the child who was bought an ice cream cone.,Who smiled?
A,GP-A-PM,The child bought an ice cream cone smiled at the cashier.,Who was smiled at?
A,GP-U-AM,The child who was saved a front row seat surprised the clown.,Who surprised the clown?
A,GP-A-PM,The colonel granted leave phoned a travel agent.,Who was phoned?
A,GP-U-AM,The dispatcher who was handed a pink slip worried about the driver.,Who worried about the driver?
A,LC-A-A2,The employees praised the manager prepared the report.,What did the manager get?
A,GP-U-AM,The general who was awarded the medal annoyed the soldier.,Who annoyed the soldier?
A,GP-U-AM,The girl who was won a stuffed bear ignored the carnival worker.,Who ignored the carnival worker?
A,GP-U-AM,The golfer who was cooked a special meal toasted the host.,Who toasted?
A,LC-A-A2,The host toasted the golfer cooked a special meal.,What did the golfer get?
A,GP-U-AM,The instructor who was submitted the plagiarized papers visited the dean.,Who visited the dean?
A,LC-A-A2,The mailman envied the neighbour crocheted a blanket.,What did the neighbor get?
A,LC-U-AM,The mayor waved to the woman who was painted the portrait.,Who waved?
A,GP-A-PM,The neighbour crocheted a blanket envied the mailman.,Who was envied?
A,GP-U-AM,The old man who was awarded the prize embraced a friend.,Who embraced a friend?
A,LC-A-A2,The parents thanked the babysitter purchased a gift card.,What did the babysitter get?
A,GP-U-AM,The priest who was mailed a request telephoned the cardinal.,Who telephoned?
A,GP-A-PM,The reporter told the rumour yelled at the witness.,Who was yelled at?
A,GP-U-AM,The scientist who was shipped critical supplies admired the tribesmen.,Who admired the tribesman?
A,LC-A-A2,The soldier annoyed the general awarded the medal.,What did the general get?
A,GP-A-PM,The student called a bad name knew the bus driver.,Who was known?
A,LC-A-AM,The teacher emailed the principal taught the policy.,Who emailed?
A,LC-U-AM,The tourist photographed the girl who was played a song.,Who photographed the girl?
A,LC-A-A2,The tutor hugged the boy sent an invitation.,What did the boy get?
A,LC-U-AM,The witness yelled at the reporter who was told the rumour.,Who yelled?
A,FRC,The tutor that taught the student solved the math problem.,Who was taught?
A,FRC,The volunteer that helped the student was very handsome.,Who was helped?
A,FRC,The waiter that served the guest was tall.,What did the waiter do?
A,FRC,The wrecker that towed the car drove at a high speed.,What was towed?
A,FS,The cat chased the mouse.,Who was chased?
A,FS,The hungry animal ate the human food.,What did the animal do?
