code,context,question,fix,answers.all.A,answers.all.B,answers.text,answers.start_index,fact or implied,NP-RC,NP-RC edit,NP-NRC
LC-A-AM,the driver worried about the dispatcher handed a pink slip.,Who worried?,,the driver,"the driver
driver",the driver,0,F,the dispatcher handed a pink slip,the dispatcher,the driver
LC-A-PM,the driver worried about the dispatcher handed a pink slip.,Who was worried about?,,"the dispatcher handed a pink slip
the dispatcher","the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher",the dispatcher,25,F,the dispatcher handed a pink slip,the dispatcher,the driver
LC-A-PE,the driver worried about the dispatcher handed a pink slip.,Who was handed a pink slip?,,the dispatcher,"the dispatcher
dispatcher",the dispatcher,25,F,the dispatcher handed a pink slip,the dispatcher,the driver
LC-A-A2,the parents thanked the babysitter purchased a gift card.,What did the babysitter get?,,"purchased a gift card
a gift card","purchased a gift card
a gift card
purchased a gift card
gift card",purchased a gift card,35,F,the babysitter purchased a gift card,the babysitter,the parents
LC-A-A1,the driver worried about the dispatcher handed a pink slip.,What did the driver do?,,"worried about the dispatcher
worried about the dispatcher handed a pink slip","worried about the dispatcher
worried about the dispatcher handed a pink slip
worried",worried about the dispatcher,11,F,the dispatcher handed a pink slip,the dispatcher,the driver
LC-U-AM,the driver worried about the dispatcher who was handed a pink slip.,Who worried?,,the driver,"the driver
driver",the driver,0,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
LC-U-PM,the driver worried about the dispatcher who was handed a pink slip.,Who was worried about?,,"the dispatcher who was handed a pink slip
the dispatcher","the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,25,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
LC-U-PE,the driver worried about the dispatcher who was handed a pink slip.,Who was handed a pink slip?,,the dispatcher,"the dispatcher
dispatcher",the dispatcher,25,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
LC-U-A2,the driver worried about the dispatcher who was handed a pink slip.,What did the dispatcher get?,,"handed a pink slip
a pink slip","handed a pink slip
a pink slip
handed a pink slip
pink slip",handed a pink slip,48,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
LC-U-A1,the driver worried about the dispatcher who was handed a pink slip.,What did the driver do?,,"worried about the dispatcher
worried about the dispatcher who was handed a pink slip","worried about the dispatcher
worried about the dispatcher who was handed a pink slip
worried",worried about the dispatcher,11,F,the dispatcher who was handed a pink slip,the dispatcher,the driver
LC-A-AM,the cashier smiled at the child bought an ice cream cone.,Who smiled?,,the cashier,"the cashier
cashier",the cashier,0,F,the child bought an ice cream cone,the child,the cashier
LC-A-PM,the cashier smiled at the child bought an ice cream cone.,Who was smiled at?,,"the child bought an ice cream cone
the child","the child bought an ice cream cone
the child
child bought an ice cream cone
child",the child,22,F,the child bought an ice cream cone,the child,the cashier
LC-A-PE,the cashier smiled at the child bought an ice cream cone.,Who got an ice cream cone?,,the child,"the child
child",the child,22,F,the child bought an ice cream cone,the child,the cashier
LC-A-A2,the tutor hugged the boy sent an invitation.,What did the boy get?,"x
get -> do","an invitation
an invitation","an invitation
sent an invitation
an invitation",an invitation,30,F,the boy sent an invitation,the boy,the tutor
LC-A-A1,the cashier smiled at the child bought an ice cream cone.,What did the cashier do?,,"smiled at the child
smiled at the child bought an ice cream cone","smiled at the child
smiled at the child bought an ice cream cone
smiled",smiled at the child,12,F,the child bought an ice cream cone,the child,the cashier
LC-U-AM,the cashier smiled at the child who was bought an ice cream cone.,Who smiled?,,the cashier,"the cashier
cashier",the cashier,0,F,the child who was bought an ice cream cone,the child,the cashier
LC-U-PM,the cashier smiled at the child who was bought an ice cream cone.,Who was smiled at?,,"the child who was bought an ice cream cone
the child","the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child",the child,22,F,the child who was bought an ice cream cone,the child,the cashier
LC-U-PE,the cashier smiled at the child who was bought an ice cream cone.,Who got an ice cream cone?,,the child,"the child
child",the child,22,F,the child who was bought an ice cream cone,the child,the cashier
LC-U-A2,the cashier smiled at the child who was bought an ice cream cone.,What did the child get?,,"bought an ice cream cone
an ice cream cone","bought an ice cream cone
an ice cream cone",bought an ice cream cone,40,F,the child who was bought an ice cream cone,the child,the cashier
LC-U-A1,the cashier smiled at the child who was bought an ice cream cone.,What did the cashier do?,,"smiled at the child
smiled at the child who was bought an ice cream cone","smiled at the child
smiled at the child who was bought an ice cream cone
smiled",smiled at the child,12,F,the child who was bought an ice cream cone,the child,the cashier
