Code,Context,Question,Answer,Model_Ans,Score,Correct
LC-A-AM,the driver worried about the dispatcher handed a pink slip.,Who worried?,"the driver
driver",the driver,0.020124195143580437,1
LC-A-PM,the driver worried about the dispatcher handed a pink slip.,Who was worried about?,"the dispatcher handed a pink slip
the dispatcher
dispatcher handed a pink slip
dispatcher",the dispatcher,0.5453419089317322,1
LC-A-PE,the driver worried about the dispatcher handed a pink slip.,Who was handed a pink slip?,"the dispatcher
dispatcher",the driver worried about the dispatcher,0.31252315640449524,0
LC-A-A2,the parents thanked the babysitter purchased a gift card.,What did the babysitter get?,"purchased a gift card
a gift card
purchased a gift card
gift card",gift card,0.36953943967819214,1
LC-A-A1,the driver worried about the dispatcher handed a pink slip.,What did the driver do?,"worried about the dispatcher
worried about the dispatcher handed a pink slip
worried",worried about the dispatcher,0.05298025906085968,1
LC-U-AM,the driver worried about the dispatcher who was handed a pink slip.,Who worried?,"the driver
driver",the driver,0.005005316808819771,1
LC-U-PM,the driver worried about the dispatcher who was handed a pink slip.,Who was worried about?,"the dispatcher who was handed a pink slip
the dispatcher
dispatcher who was handed a pink slip
dispatcher",the dispatcher,0.40480029582977295,1
LC-U-PE,the driver worried about the dispatcher who was handed a pink slip.,Who was handed a pink slip?,"the dispatcher
dispatcher",the dispatcher,0.6039834022521973,1
LC-U-A2,the driver worried about the dispatcher who was handed a pink slip.,What did the dispatcher get?,"handed a pink slip
a pink slip
handed a pink slip
pink slip",pink slip,0.4016396403312683,1
LC-U-A1,the driver worried about the dispatcher who was handed a pink slip.,What did the driver do?,"worried about the dispatcher
worried about the dispatcher who was handed a pink slip
worried",worried about the dispatcher,0.483427494764328,1
LC-A-AM,the cashier smiled at the child bought an ice cream cone.,Who smiled?,"the cashier
cashier",the cashier smiled at the child bought an ice cream cone.,0.0982067659497261,0
LC-A-PM,the cashier smiled at the child bought an ice cream cone.,Who was smiled at?,"the child bought an ice cream cone
the child
child bought an ice cream cone
child",the child bought an ice cream cone.,0.22168971598148346,1
LC-A-PE,the cashier smiled at the child bought an ice cream cone.,Who got an ice cream cone?,"the child
child",the cashier smiled at the child,0.28575775027275085,0
LC-A-A2,the tutor hugged the boy sent an invitation.,What did the boy get?,"an invitation
sent an invitation
an invitation",the tutor hugged the boy sent an invitation,0.10888869315385818,0
LC-A-A1,the cashier smiled at the child bought an ice cream cone.,What did the cashier do?,"smiled at the child
smiled at the child bought an ice cream cone
smiled",smiled at the child bought an ice cream cone,0.19704808294773102,1
LC-U-AM,the cashier smiled at the child who was bought an ice cream cone.,Who smiled?,"the cashier
cashier",the cashier,0.06366731226444244,1
LC-U-PM,the cashier smiled at the child who was bought an ice cream cone.,Who was smiled at?,"the child who was bought an ice cream cone
the child
child who was bought an ice cream cone
child",the child who was bought an ice cream cone.,0.16980357468128204,1
LC-U-PE,the cashier smiled at the child who was bought an ice cream cone.,Who got an ice cream cone?,"the child
child",the child,0.5263330340385437,1
LC-U-A2,the cashier smiled at the child who was bought an ice cream cone.,What did the child get?,"bought an ice cream cone
an ice cream cone",an ice cream cone,0.5895553827285767,1
LC-U-A1,the cashier smiled at the child who was bought an ice cream cone.,What did the cashier do?,"smiled at the child
smiled at the child who was bought an ice cream cone
smiled",smiled at the child who was bought an ice cream cone,0.39952096343040466,1
LC-A-AM,the witness yelled at the reporter told the rumour.,Who yelled?,"the witness
witness",the witness,0.1251801699399948,1
LC-A-PM,the witness yelled at the reporter told the rumour.,Who was yelled at?,"the reporter told the rumour
the reporter
reporter told the rumour
reporter",the witness,0.1562848836183548,0
LC-A-PE,the witness yelled at the reporter told the rumour.,Who was told the rumour?,"the reporter
reporter",the witness,0.17244550585746765,0
LC-A-A2,the girlfriend distrusted the boyfriend left a voicemail.,What did the boyfriend get?,"left a voicemail
a voicemail
left a voicemail
voicemail",left a voicemail,6.664256216026843e-05,1
LC-A-A1,the witness yelled at the reporter told the rumour.,What did the witness do?,"yelled at the reporter
yelled at the reporter told the rumour
yelled",yelled at the reporter told the rumour.,0.44886139035224915,1
LC-U-AM,the witness yelled at the reporter who was told the rumour.,Who yelled?,"the witness
witness",the witness,0.09063880145549774,1
LC-U-PM,the witness yelled at the reporter who was told the rumour.,Who was yelled at?,"the reporter who was told the rumour
the reporter
reporter who was told the rumour
reporter",the reporter,0.13309866189956665,1
LC-U-PE,the witness yelled at the reporter who was told the rumour.,Who was told the rumour?,"the reporter
reporter",reporter,0.50362628698349,1
LC-U-A2,the witness yelled at the reporter who was told the rumour.,What did the reporter get?,"told the rumour
the rumour
told the rumour
rumour",told the rumour,0.00019323689048178494,1
LC-U-A1,the witness yelled at the reporter who was told the rumour.,What did the witness do?,"yelled at the reporter
yelled at the reporter who was told the rumour
yelled",yelled at the reporter who was told the rumour.,0.4529450833797455,1
LC-A-AM,the cheerleader smiled at the teenager burned a cd.,Who smiled?,"the cheerleader
cheerleader",the cheerleader,0.30114802718162537,1
LC-A-PM,the cheerleader smiled at the teenager burned a cd.,Who was smiled at?,"the teenager burned a cd
the teenager
teenager burned a cd
teenager",the teenager burned a cd.,0.04063820838928223,1
LC-A-PE,the cheerleader smiled at the teenager burned a cd.,Who was burned a cd?,"the teenager
teenager",the cheerleader smiled at the teenager,0.06840100884437561,0
LC-A-A2,the italian defeated the brit served the first ace.,What did the brit get?,"served the first ace
served the first ace
the first ace
first ace",the first ace,0.5054677128791809,1
LC-A-A1,the cheerleader smiled at the teenager burned a cd.,What did the cheerleader do?,"smiled at the teenager
smiled at the teenager burned a cd
smiled",smiled at the teenager burned a cd,0.3142002820968628,1
LC-U-AM,the cheerleader smiled at the teenager who was burned a cd.,Who smiled?,"the cheerleader
cheerleader",the cheerleader,0.1973208636045456,1
LC-U-PM,the cheerleader smiled at the teenager who was burned a cd.,Who was smiled at?,"the teenager who was burned a cd
the teenager
teenager who was burned a cd
teenager",the teenager who was burned a cd.,0.03778797388076782,1
LC-U-PE,the cheerleader smiled at the teenager who was burned a cd.,Who was burned a cd?,"the teenager
teenager",teenager,0.4427280128002167,1
LC-U-A2,the cheerleader smiled at the teenager who was burned a cd.,What did the teenager get?,"burned a cd
a cd
burned a cd
cd",burned a cd,0.5837706327438354,1
LC-U-A1,the cheerleader smiled at the teenager who was burned a cd.,What did the cheerleader do?,"smiled at the teenager
smiled at the teenager who was burned a cd
smiled",smiled,0.3730010390281677,1
LC-A-AM,the bartender winked at the woman offered a free drink.,Who winked?,"the bartender
bartender",the bartender,0.0011912898626178503,1
LC-A-PM,the bartender winked at the woman offered a free drink.,Who was winked at?,"the woman offered a free drink
the woman
woman offered a free drink
woman",the woman,0.03444098308682442,1
LC-A-PE,the bartender winked at the woman offered a free drink.,Who was offered a free drink?,"the woman
woman",the bartender winked at the woman,0.36111870408058167,0
LC-A-A2,the audience greeted the chef presented the new knife.,What did the chef get?,"the new knife
the new knife
new knife
new knife
presented the new knife",new knife,0.21752412617206573,1
LC-A-A1,the bartender winked at the woman offered a free drink.,What did the bartender do?,"winked at the woman
winked at the woman offered a free drink
winked",winked at the woman offered a free drink,0.046518370509147644,1
LC-U-AM,the bartender winked at the woman who was offered a free drink.,Who winked?,"the bartender
bartender",the bartender,0.011614476330578327,1
LC-U-PM,the bartender winked at the woman who was offered a free drink.,Who was winked at?,"the woman who was offered a free drink
the woman
woman who was offered a free drink
woman",the woman,0.11497318744659424,1
LC-U-PE,the bartender winked at the woman who was offered a free drink.,Who was offered a free drink?,"the woman
woman",the woman,0.6666860580444336,1
LC-U-A2,the bartender winked at the woman who was offered a free drink.,What did the woman get?,"offered a free drink
a free drink
offered a free drink
free drink",free drink,0.5128093957901001,1
LC-U-A1,the bartender winked at the woman who was offered a free drink.,What did the bartender do?,"winked at the woman
winked at the woman who was offered a free drink
winked",winked,0.2137932926416397,1
LC-A-AM,the classmate tattled on the girl passed a note.,Who tattled?,"the classmate
classmate",the classmate,0.15256500244140625,1
LC-A-PM,the classmate tattled on the girl passed a note.,Who was tattled on?,"the girl passed a note
the girl
girl passed a note
girl",the girl,0.23249883949756622,1
LC-A-PE,the classmate tattled on the girl passed a note.,Who was passed a note?,"the girl
girl",the classmate,0.1673734486103058,0
LC-A-A2,the cashier smiled at the child bought an ice cream cone.,What did the child get?,"bought an ice cream cone
an ice cream cone",an ice cream cone,0.5013020038604736,1
LC-A-A1,the classmate tattled on the girl passed a note.,What did the classmate do?,"tattled on the girl
tattled on the girl passed a note
tattled",tattled,0.2162952423095703,1
LC-U-AM,the classmate  tattled on the girl who was passed a note.,Who tattled?,"the classmate 
classmate",classmate,0.3719703257083893,1
LC-U-PM,the classmate  tattled on the girl who was passed a note.,Who was tattled on?,"the girl who was passed a note
the girl
girl who was passed a note
girl",the girl,0.0697072446346283,1
LC-U-PE,the classmate  tattled on the girl who was passed a note.,Who was passed a note?,"the girl
girl",the classmate  tattled on the girl,0.4016410708427429,0
LC-U-A2,the classmate  tattled on the girl who was passed a note.,What did the girl get?,"passed a note
a note
passed a note
note",a note,0.18241071701049805,1
